type,sequence,product_id,price,open_24h,volume_24h,low_24h,high_24h,volume_30d,best_bid,best_ask,side,time,trade_id,last_size,predX,predDX,policy,algoType
ticker,21799751210,BTC-USD,48136.49,54961.08,71002.99101716,44888.08,55043.63,854291.23131663,48136.48,48136.49,buy,2021-02-23T21:35:38.308228Z,137332923,0.00200324,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799751325,BTC-USD,48136.49,54961.08,71002.99368710,44888.08,55043.63,854291.23398657,48136.48,48136.49,buy,2021-02-23T21:35:38.605087Z,137332924,0.00266994,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799751481,BTC-USD,48134.61,54961.08,71003.00318710,44888.08,55043.63,854291.24348657,48134.61,48136.49,sell,2021-02-23T21:35:38.804243Z,137332925,0.0095,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799751599,BTC-USD,48134.6,54961.08,71003.00548710,44888.08,55043.63,854291.24578657,48134.60,48134.62,sell,2021-02-23T21:35:38.931222Z,137332926,0.0023,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799751674,BTC-USD,48134.6,54961.08,71003.08049035,44888.08,55043.63,854291.32078982,48130.68,48134.61,sell,2021-02-23T21:35:39.037135Z,137332928,0.075,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799752319,BTC-USD,48128.09,54961.08,71003.09068188,44888.08,55043.63,854291.33098135,48118.32,48128.09,buy,2021-02-23T21:35:39.876126Z,137332929,0.01019153,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799752525,BTC-USD,48120.21,54961.08,71003.11068188,44888.08,55043.63,854291.35098135,48120.21,48128.69,sell,2021-02-23T21:35:40.095560Z,137332930,0.02,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799752878,BTC-USD,48126.24,54961.08,71003.11106394,44888.08,55043.63,854291.35136341,48120.03,48126.24,buy,2021-02-23T21:35:40.949181Z,137332931,0.00038206,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799753292,BTC-USD,48126.57,54961.08,71003.12633323,44888.08,55043.63,854291.36663270,48120.66,48126.57,buy,2021-02-23T21:35:41.753052Z,137332932,0.01526929,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799753310,BTC-USD,48120.66,54961.08,71003.12769087,44888.08,55043.63,854291.36799034,48120.66,48126.57,sell,2021-02-23T21:35:41.783073Z,137332933,0.00135764,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799753365,BTC-USD,48126.94,54961.08,71003.26104546,44888.08,55043.63,854291.50134493,48120.66,48126.94,buy,2021-02-23T21:35:41.883314Z,137332935,0.02992388,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799753500,BTC-USD,48121.57,54961.08,71003.29713411,44888.08,55043.63,854291.53743358,48121.57,48126.94,sell,2021-02-23T21:35:42.088146Z,137332936,0.03608865,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799753725,BTC-USD,48126.94,54961.08,71003.30222606,44888.08,55043.63,854291.54252553,48121.36,48126.94,buy,2021-02-23T21:35:42.627248Z,137332937,0.00509195,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799753804,BTC-USD,48126.94,54961.08,71003.32292174,44888.08,55043.63,854291.56322121,48122.64,48126.94,buy,2021-02-23T21:35:42.801141Z,137332938,0.02069568,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799753819,BTC-USD,48126.94,54961.08,71003.57903208,44888.08,55043.63,854291.81933155,48122.64,48131.75,buy,2021-02-23T21:35:42.847368Z,137332939,0.25611034,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799754171,BTC-USD,48141.08,54961.08,71005.77731397,44888.08,55043.63,854294.01761344,48131.06,48141.08,buy,2021-02-23T21:35:43.250859Z,137332948,0.01034991,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799754423,BTC-USD,48141.43,54961.08,71006.59931397,44888.08,55043.63,854294.83961344,48136.62,48144.29,buy,2021-02-23T21:35:43.751153Z,137332950,0.2,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799754698,BTC-USD,48154.09,54961.08,71008.98587235,44888.08,55043.63,854297.22617182,48141.95,48154.09,buy,2021-02-23T21:35:43.971661Z,137332962,0.02434987,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799754812,BTC-USD,48152.91,54961.08,71008.99096282,44888.08,55043.63,854297.23126229,48144.54,48152.91,buy,2021-02-23T21:35:44.135958Z,137332963,0.00509047,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799754845,BTC-USD,48151.7,54961.08,71008.99174749,44888.08,55043.63,854297.23204696,48144.54,48151.70,buy,2021-02-23T21:35:44.193224Z,137332964,0.00078467,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799754873,BTC-USD,48152.86,54961.08,71009.08888812,44888.08,55043.63,854297.32918759,48144.54,48152.86,buy,2021-02-23T21:35:44.215646Z,137332966,0.09614798,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799755060,BTC-USD,48154.09,54961.08,71009.08899143,44888.08,55043.63,854297.32929090,48144.54,48154.09,buy,2021-02-23T21:35:44.448490Z,137332967,0.00010331,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799755892,BTC-USD,48155.04,54961.08,71009.08913267,44888.08,55043.63,854297.32943214,48144.35,48155.04,buy,2021-02-23T21:35:45.591411Z,137332968,0.00014124,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756010,BTC-USD,48149.19,54961.08,71009.14214371,44888.08,55043.63,854297.38244318,48149.19,48154.99,sell,2021-02-23T21:35:45.704967Z,137332969,0.05301104,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756222,BTC-USD,48153.74,54961.08,71008.64117967,44888.08,55043.63,854296.88147914,48146.89,48153.74,buy,2021-02-23T21:35:46.070807Z,137332970,0.00916149,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756329,BTC-USD,48147.29,54961.08,71008.64405264,44888.08,55043.63,854296.88435211,48147.29,48154.49,sell,2021-02-23T21:35:46.259601Z,137332971,0.00287297,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756361,BTC-USD,48152.89,54961.08,71008.64605840,44888.08,55043.63,854296.88635787,48147.29,48152.89,buy,2021-02-23T21:35:46.291371Z,137332972,0.00200576,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756667,BTC-USD,48152.89,54961.08,71008.65227190,44888.08,55043.63,854296.89257137,48147.49,48152.89,buy,2021-02-23T21:35:46.958712Z,137332973,0.0062135,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756717,BTC-USD,48147.13,54961.08,71008.67230288,44888.08,55043.63,854296.91260235,48147.13,48152.89,sell,2021-02-23T21:35:47.033426Z,137332974,0.02003098,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756805,BTC-USD,48150.78,54961.08,71008.67309077,44888.08,55043.63,854296.91339024,48146.75,48150.78,buy,2021-02-23T21:35:47.189041Z,137332975,0.00078789,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756826,BTC-USD,48145.9,54961.08,71008.67371715,44888.08,55043.63,854296.91401662,48145.90,48150.78,sell,2021-02-23T21:35:47.223185Z,137332976,0.00062638,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756849,BTC-USD,48150.78,54961.08,71008.67570413,44888.08,55043.63,854296.91600360,48146.84,48150.78,buy,2021-02-23T21:35:47.287258Z,137332977,0.00198698,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756971,BTC-USD,48150.78,54961.08,71008.87924012,44888.08,55043.63,854297.11953959,48150.77,48150.78,buy,2021-02-23T21:35:47.659840Z,137332978,0.20353599,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799756989,BTC-USD,48150.77,54961.08,71008.88132870,44888.08,55043.63,854297.12162817,48150.77,48150.78,sell,2021-02-23T21:35:47.708036Z,137332979,0.00208858,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799757081,BTC-USD,48150.78,54961.08,71008.89149901,44888.08,55043.63,854297.13179848,48147.52,48150.78,buy,2021-02-23T21:35:47.930697Z,137332980,0.01017031,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
ticker,21799757134,BTC-USD,48150.74,54961.08,71008.89561101,44888.08,55043.63,854297.13591048,48147.52,48150.74,buy,2021-02-23T21:35:48.094433Z,137332981,0.004112,55750.029065,-0.7705223500000001,short,G:0.01_H:0.0001
